2013-03-06 19:59:29,346 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testFilterWrapper Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,347 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testFirstKeyValueMatchingQualifiersFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,353 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testFirstKeyValueMatchingQualifiersFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,354 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testFuzzyRowFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,359 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testFuzzyRowFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,360 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testMultipleColumnPrefixFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,364 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testMultipleColumnPrefixFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,365 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testRandomRowFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,369 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testRandomRowFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,370 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testSingleColumnValueExcludeFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,377 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testSingleColumnValueExcludeFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
2013-03-06 19:59:29,378 INFO  [pool-1-thread-1] hbase.ResourceChecker(147): before: filter.TestFilterSerialization#testWhileMatchFilter Thread=12, OpenFileDescriptor=114, MaxFileDescriptor=1000000, ConnectionCount=0
2013-03-06 19:59:29,384 INFO  [pool-1-thread-1] hbase.ResourceChecker(171): after: filter.TestFilterSerialization#testWhileMatchFilter Thread=12 (was 12), OpenFileDescriptor=114 (was 114), MaxFileDescriptor=1000000 (was 1000000), ConnectionCount=0 (was 0)
